"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796YV5","Bill","26-Week","10/24/2022","10/27/2022","04/27/2023","97.780611"
"91282CFR7","Note","5-Year","10/20/2022","10/31/2022","10/15/2027","99.475435"
"912796YR4","Bill","4-Week","10/20/2022","10/25/2022","11/22/2022","99.733222"
"912796YZ6","Bill","8-Week","10/20/2022","10/25/2022","12/20/2022","99.426000"
"912810TK4","Bond","19-Year 10-Month","10/19/2022","10/31/2022","08/15/2042","86.599384"
"912796Y60","Bill","17-Week","10/19/2022","10/25/2022","02/21/2023","98.631500"
"912796XS3","Bill","13-Week","10/17/2022","10/20/2022","01/19/2023","99.034389"
"912796V48","Bill","26-Week","10/17/2022","10/20/2022","04/20/2023","97.853917"
"912796YQ6","Bill","4-Week","10/13/2022","10/18/2022","11/15/2022","99.747222"
"912796YY9","Bill","8-Week","10/13/2022","10/18/2022","12/13/2022","99.458667"
"912810TJ7","Bond","29-Year 10-Month","10/13/2022","10/17/2022","08/15/2052","83.740689"
"912796ZU6","Bill","119-Day","10/12/2022","10/18/2022","02/14/2023","98.714139"
"91282CFF3","Note","9-Year 10-Month","10/12/2022","10/17/2022","08/15/2032","90.449122"
"91282CFP1","Note","3-Year","10/11/2022","10/17/2022","10/15/2025","99.810402"
"912796XR5","Bill","13-Week","10/11/2022","10/13/2022","01/12/2023","99.112750"
"912796YU7","Bill","26-Week","10/11/2022","10/13/2022","04/13/2023","97.962611"
"912796YP8","Bill","4-Week","10/06/2022","10/11/2022","11/08/2022","99.772889"
"912796YX1","Bill","8-Week","10/06/2022","10/11/2022","12/06/2022","99.497556"
"912796ZT9","Bill","119-Day","10/05/2022","10/11/2022","02/07/2023","98.776944"
"912796YJ2","Bill","52-Week","10/04/2022","10/06/2022","10/05/2023","96.001056"
"912796X95","Bill","13-Week","10/03/2022","10/06/2022","01/05/2023","99.155722"
"912796YN3","Bill","26-Week","10/03/2022","10/06/2022","04/06/2023","98.053611"
"912796YG8","Bill","4-Week","09/29/2022","10/04/2022","11/01/2022","99.793111"
"912796YS2","Bill","8-Week","09/29/2022","10/04/2022","11/29/2022","99.523222"
"912796ZM4","Bill","119-Day","09/28/2022","10/04/2022","01/31/2023","98.813306"
"91282CFD8","Note","1-Year 10-Month","09/28/2022","09/30/2022","07/31/2024","99.899772"
"91282CFL0","Note","7-Year","09/28/2022","09/30/2022","09/30/2029","99.860277"
"91282CFM8","Note","5-Year","09/27/2022","09/30/2022","09/30/2027","99.540144"
"91282CFN6","Note","2-Year","09/26/2022","09/30/2022","09/30/2024","99.924113"
"912796R27","Bill","13-Week","09/26/2022","09/29/2022","12/29/2022","99.173417"
"912796YM5","Bill","26-Week","09/26/2022","09/29/2022","03/30/2023","98.053611"
"91282CEZ0","Note","9-Year 10-Month","09/22/2022","09/30/2022","07/15/2032","96.133470"
"912796YF0","Bill","4-Week","09/22/2022","09/27/2022","10/25/2022","99.793111"
"912796YR4","Bill","8-Week","09/22/2022","09/27/2022","11/22/2022","99.534889"
"912796ZL6","Bill","119-Day","09/21/2022","09/27/2022","01/24/2023","98.813306"
"912810TK4","Bond","19-Year 11-Month","09/20/2022","09/30/2022","08/15/2042","93.835989"
"912796X87","Bill","13-Week","09/19/2022","09/22/2022","12/22/2022","99.173417"
"912796U31","Bill","26-Week","09/19/2022","09/22/2022","03/23/2023","98.089000"
"912796YE3","Bill","4-Week","09/15/2022","09/20/2022","10/18/2022","99.792333"
"912796YQ6","Bill","8-Week","09/15/2022","09/20/2022","11/15/2022","99.545000"
"912796ZK8","Bill","119-Day","09/14/2022","09/20/2022","01/17/2023","98.826528"
"912810TJ7","Bond","29-Year 11-Month","09/13/2022","09/15/2022","08/15/2052","90.579948"
"912796X79","Bill","13-Week","09/12/2022","09/15/2022","12/15/2022","99.222708"
"912796YL7","Bill","26-Week","09/12/2022","09/15/2022","03/16/2023","98.248250"
"91282CFK2","Note","3-Year","09/12/2022","09/15/2022","09/15/2025","99.819428"
"91282CFF3","Note","9-Year 11-Month","09/12/2022","09/15/2022","08/15/2032","95.132618"
"912796YD5","Bill","4-Week","09/08/2022","09/13/2022","10/11/2022","99.805556"
"912796YP8","Bill","8-Week","09/08/2022","09/13/2022","11/08/2022","99.569889"
"912796ZJ1","Bill","119-Day","09/07/2022","09/13/2022","01/10/2023","98.943875"
"912796X61","Bill","13-Week","09/06/2022","09/08/2022","12/08/2022","99.250514"
"912796YK9","Bill","26-Week","09/06/2022","09/08/2022","03/09/2023","98.321556"
"912796YH6","Bill","52-Week","09/06/2022","09/08/2022","09/07/2023","96.501556"
"912796YC7","Bill","4-Week","09/01/2022","09/06/2022","10/04/2022","99.807889"
"912796YG8","Bill","8-Week","09/01/2022","09/06/2022","11/01/2022","99.575333"
"912796ZH5","Bill","119-Day","08/31/2022","09/06/2022","01/03/2023","98.975278"
"912796P94","Bill","13-Week","08/29/2022","09/01/2022","12/01/2022","99.272000"
"912796YB9","Bill","26-Week","08/29/2022","09/01/2022","03/02/2023","98.364528"
"91282CFJ5","Note","7-Year","08/25/2022","08/31/2022","08/31/2029","99.968787"
"912796XX2","Bill","4-Week","08/25/2022","08/30/2022","09/27/2022","99.820333"
"912796YF0","Bill","8-Week","08/25/2022","08/30/2022","10/25/2022","99.594000"
"91282CFH9","Note","5-Year","08/24/2022","08/31/2022","08/31/2027","99.518772"
"912796ZA0","Bill","119-Day","08/24/2022","08/30/2022","12/27/2022","99.018250"
"91282CFD8","Note","1-Year 11-Month","08/24/2022","08/26/2022","07/31/2024","99.898407"
"91282CFG1","Note","2-Year","08/23/2022","08/31/2022","08/31/2024","99.890561"
"912796U49","Bill","21-Day","08/23/2022","08/25/2022","09/15/2022","99.871667"
"912796W70","Bill","13-Week","08/22/2022","08/25/2022","11/25/2022","99.299778"
"912796T33","Bill","26-Week","08/22/2022","08/25/2022","02/23/2023","98.427722"
"912810TE8","Bond","29-Year 6-Month","08/18/2022","08/31/2022","02/15/2052","84.615251"
"912796XW4","Bill","4-Week","08/18/2022","08/23/2022","09/20/2022","99.832778"
"912796YE3","Bill","8-Week","08/18/2022","08/23/2022","10/18/2022","99.612667"
"912810TK4","Bond","20-Year","08/17/2022","08/31/2022","08/15/2042","99.925621"
"912796YZ6","Bill","119-Day","08/17/2022","08/23/2022","12/20/2022","99.044694"
