"CUSIP","Security Type","Security Term","Auction Date","Issue Date","Maturity Date","Price per $100"
"912796C23","Bill","105-Day","11/12/2020","11/17/2020","03/02/2021","99.972292"
"912796D97","Bill","154-Day","11/12/2020","11/17/2020","04/20/2021","99.957222"
"912810SS8","Bond","30-Year","11/12/2020","11/16/2020","11/15/2050","98.708151"
"91282CAV3","Note","10-Year","11/10/2020","11/16/2020","11/15/2030","99.191574"
"91282CAW1","Note","3-Year","11/09/2020","11/16/2020","11/15/2023","99.999999"
"9127963L1","Bill","42-Day","11/09/2020","11/12/2020","12/24/2020","99.988917"
"9127964C0","Bill","13-Week","11/09/2020","11/12/2020","02/11/2021","99.974722"
"9127964M8","Bill","119-Day","11/09/2020","11/12/2020","03/11/2021","99.966944"
"912796A25","Bill","26-Week","11/09/2020","11/12/2020","05/13/2021","99.944389"
"9127965B1","Bill","4-Week","11/05/2020","11/10/2020","12/08/2020","99.993778"
"912796A58","Bill","8-Week","11/05/2020","11/10/2020","01/05/2021","99.986778"
"912796B99","Bill","105-Day","11/04/2020","11/10/2020","02/23/2021","99.970833"
"912796D89","Bill","154-Day","11/04/2020","11/10/2020","04/13/2021","99.955083"
"9127963K3","Bill","42-Day","11/03/2020","11/05/2020","12/17/2020","99.990083"
"9127964F3","Bill","119-Day","11/03/2020","11/05/2020","03/04/2021","99.965292"
"9127964W6","Bill","52-Week","11/03/2020","11/05/2020","11/04/2021","99.863500"
"9127963W7","Bill","13-Week","11/02/2020","11/05/2020","02/04/2021","99.975986"
"9127965A3","Bill","26-Week","11/02/2020","11/05/2020","05/06/2021","99.944389"
"9127964U0","Bill","4-Week","10/29/2020","11/03/2020","12/01/2020","99.993778"
"9127965F2","Bill","8-Week","10/29/2020","11/03/2020","12/29/2020","99.986778"
"91282CAU5","Note","7-Year","10/29/2020","11/02/2020","10/31/2027","99.316022"
"912796B81","Bill","105-Day","10/28/2020","11/03/2020","02/16/2021","99.972292"
"912796D71","Bill","154-Day","10/28/2020","11/03/2020","04/06/2021","99.955083"
"91282CAS0","Note","2-Year","10/28/2020","11/02/2020","10/31/2022","100.000000"
"91282CAT8","Note","5-Year","10/28/2020","11/02/2020","10/31/2025","99.604038"
"91282CAR2","Note","2-Year","10/27/2020","11/02/2020","10/31/2022","99.948240"
"9127963J6","Bill","42-Day","10/27/2020","10/29/2020","12/10/2020","99.990667"
"912796XE4","Bill","119-Day","10/27/2020","10/29/2020","02/25/2021","99.966944"
"912796UC1","Bill","13-Week","10/26/2020","10/29/2020","01/28/2021","99.974722"
"9127964Z9","Bill","26-Week","10/26/2020","10/29/2020","04/29/2021","99.944389"
"91282CAQ4","Note","5-Year","10/22/2020","10/30/2020","10/15/2025","107.593657"
"9127964T3","Bill","4-Week","10/22/2020","10/27/2020","11/24/2020","99.993389"
"9127965D7","Bill","8-Week","10/22/2020","10/27/2020","12/22/2020","99.986000"
"912810SQ2","Bond","19-Year 10-Month","10/21/2020","11/02/2020","08/15/2040","95.765607"
"912796B73","Bill","105-Day","10/21/2020","10/27/2020","02/09/2021","99.970833"
